Temperatura	Wavelength	PDE_375 (RT)	DPDE_375 (RT)	PDE_375 (LN2)	DPDE_375 (LN2)	Ratio_375	DRatio_375
-180	127	28.98	2.50	12.10	0.80	0.417	0.028
-180	270	19.10	2.50	5.96	0.39	0.312	0.020
-180	317	26.51	2.50	8.90	0.58	0.336	0.022
-180	340	26.00	2.50	11.46	0.75	0.441	0.029
-180	365	25.70	2.50	8.25	0.54	0.321	0.021
-180	385	29.35	2.50	12.17	0.80	0.415	0.027
-180	470	34.80	2.50	21.86	1.43	0.628	0.041
-180	570	28.40	2.50	21.81	1.43	0.768	0.050
-181	127	28.98	2.50	9.31	0.19	0.32	0.01
-181	270	19.10	2.50	4.95	0.32	0.259	0.017
-181	317	26.51	2.50	7.42	0.49	0.280	0.018
-181	340	26.00	2.50	9.99	0.66	0.384	0.025
-181	365	25.70	2.50	6.94	0.46	0.270	0.018
-181	385	29.35	2.50	10.70	0.70	0.365	0.024
-181	470	34.80	2.50	20.35	1.34	0.585	0.038
-181	570	28.40	2.50	20.86	1.37	0.735	0.048
D50181	340	26.00	2.50	16.21	1.02	0.62	0.04
D50181	365	25.05	2.50	15.07	0.98	0.60	0.04
D50181	385	29.35	2.50	19.16	1.15	0.65	0.04
D50181	470	34.80	2.50	30.92	1.36	0.89	0.04
